time,counts
0.0000,5
0.0488,1
0.0977,1
0.1465,1
0.1953,4
0.2441,1
0.2930,6
0.3418,4
0.3906,1
0.4395,3
0.4883,1
0.5371,2
0.5859,3
0.6348,1
0.6836,6
0.7324,1
0.7813,0
0.8301,2
0.8789,3
0.9277,3
0.9766,2
1.0254,2
1.0742,0
1.1230,2
1.1719,3
1.2207,3
1.2695,3
1.3184,1
1.3672,1
1.4160,2
1.4648,1
1.5137,2
1.5625,4
1.6113,3
1.6602,0
1.7090,8
1.7578,0
1.8066,7
1.8555,1
1.9043,1
1.9531,2
2.0020,14
2.0508,3
2.0996,5
2.1484,2
2.1973,3
2.2461,1
2.2949,3
2.3438,2
2.3926,5
2.4414,7
2.4902,19
2.5391,38
2.5879,65
2.6367,101
2.6855,150
2.7344,282
2.7832,718
2.8320,2418
2.8809,6768
2.9297,13439
2.9785,18642
3.0273,20315
3.0762,18280
3.1250,16097
3.1738,14223
3.2227,13042
3.2715,11954
3.3203,11466
3.3691,10993
3.4180,10491
3.4668,10187
3.5156,9744
3.5645,9450
3.6133,9426
3.6621,8893
3.7109,9063
3.7598,8454
3.8086,8413
3.8574,8290
3.9063,8316
3.9551,8095
4.0039,7776
4.0527,7879
4.1016,7688
4.1504,7224
4.1992,7210
4.2480,6988
4.2969,6728
4.3457,6660
4.3945,6522
4.4434,6468
4.4922,6095
4.5410,6061
4.5898,5881
4.6387,5808
4.6875,5685
4.7363,5586
4.7852,5476
4.8340,5342
4.8828,5324
4.9316,5092
4.9805,5011
5.0293,4888
5.0781,4811
5.1270,4646
5.1758,4689
5.2246,4452
5.2734,4440
5.3223,4497
5.3711,4137
5.4199,4088
5.4688,4160
5.5176,4123
5.5664,3954
5.6152,3908
5.6641,3635
5.7129,3883
5.7617,3638
5.8105,3522
5.8594,3558
5.9082,3519
5.9570,3331
6.0059,3317
6.0547,3307
6.1035,3156
6.1523,3172
6.2012,3094
6.2500,2990
6.2988,2969
6.3477,2949
6.3965,2924
6.4453,2878
6.4941,2861
6.5430,2716
6.5918,2746
6.6406,2548
6.6895,2662
6.7383,2555
6.7871,2560
6.8359,2396
6.8848,2348
6.9336,2365
6.9824,2313
7.0313,2262
7.0801,2348
7.1289,2218
7.1777,2177
7.2266,2154
7.2754,2183
7.3242,2039
7.3730,2072
7.4219,2010
7.4707,1976
7.5195,2022
7.5684,1926
7.6172,1931
7.6660,1820
7.7148,1828
7.7637,1768
7.8125,1827
7.8613,1653
7.9102,1733
7.9590,1704
8.0078,1673
8.0566,1633
8.1055,1623
8.1543,1468
8.2031,1592
8.2520,1525
8.3008,1502
8.3496,1472
8.3984,1452
8.4473,1473
8.4961,1387
8.5449,1446
8.5938,1399
8.6426,1355
8.6914,1331
8.7402,1306
8.7891,1242
8.8379,1234
8.8867,1256
8.9355,1286
8.9844,1210
9.0332,1200
9.0820,1112
9.1309,1176
9.1797,1073
9.2285,1182
9.2773,1076
9.3262,1135
9.3750,1043
9.4238,1047
9.4727,1023
9.5215,985
9.5703,1013
9.6191,991
9.6680,1025
9.7168,937
9.7656,898
9.8145,966
9.8633,909
9.9121,905
9.9609,913
10.0098,904
10.0586,803
