time,counts
0.0000,1
0.0488,2
0.0977,4
0.1465,2
0.1953,1
0.2441,3
0.2930,1
0.3418,1
0.3906,3
0.4395,0
0.4883,1
0.5371,0
0.5859,2
0.6348,2
0.6836,2
0.7324,5
0.7813,2
0.8301,5
0.8789,1
0.9277,1
0.9766,3
1.0254,0
1.0742,0
1.1230,1
1.1719,2
1.2207,0
1.2695,3
1.3184,1
1.3672,0
1.4160,4
1.4648,2
1.5137,1
1.5625,1
1.6113,4
1.6602,1
1.7090,2
1.7578,3
1.8066,2
1.8555,1
1.9043,5
1.9531,3
2.0020,7
2.0508,3
2.0996,2
2.1484,2
2.1973,4
2.2461,2
2.2949,10
2.3438,17
2.3926,29
2.4414,68
2.4902,166
2.5391,390
2.5879,700
2.6367,974
2.6855,1461
2.7344,2772
2.7832,7777
2.8320,28936
2.8809,85640
2.9297,156937
2.9785,179995
3.0273,141640
3.0762,89913
3.1250,52931
3.1738,32158
3.2227,21683
3.2715,15911
3.3203,11955
3.3691,8664
3.4180,6284
3.4668,4530
3.5156,3402
3.5645,2576
3.6133,2067
3.6621,1836
3.7109,1929
3.7598,2199
3.8086,2714
3.8574,3185
3.9063,3515
3.9551,3634
4.0039,3553
4.0527,3054
4.1016,2148
4.1504,1503
4.1992,1018
4.2480,694
4.2969,465
4.3457,386
4.3945,277
4.4434,214
4.4922,183
4.5410,154
4.5898,120
4.6387,129
4.6875,90
4.7363,93
4.7852,114
4.8340,106
4.8828,103
4.9316,80
4.9805,101
5.0293,73
5.0781,62
5.1270,50
5.1758,40
5.2246,40
5.2734,43
5.3223,32
5.3711,36
5.4199,34
5.4688,47
5.5176,49
5.5664,54
5.6152,46
5.6641,57
5.7129,35
5.7617,28
5.8105,39
5.8594,31
5.9082,32
5.9570,31
6.0059,13
6.0547,18
6.1035,13
6.1523,15
6.2012,8
6.2500,9
6.2988,7
6.3477,9
6.3965,10
6.4453,8
6.4941,10
6.5430,7
6.5918,11
6.6406,8
6.6895,12
6.7383,8
6.7871,7
6.8359,8
6.8848,3
6.9336,5
6.9824,6
7.0313,5
7.0801,4
7.1289,8
7.1777,2
7.2266,6
7.2754,5
7.3242,4
7.3730,6
7.4219,6
7.4707,6
7.5195,8
7.5684,4
7.6172,4
7.6660,4
7.7148,6
7.7637,7
7.8125,4
7.8613,12
7.9102,3
7.9590,5
8.0078,4
8.0566,2
8.1055,5
8.1543,2
8.2031,4
8.2520,5
8.3008,5
8.3496,4
8.3984,3
8.4473,4
8.4961,3
8.5449,5
8.5938,3
8.6426,5
8.6914,5
8.7402,7
8.7891,1
8.8379,4
8.8867,4
8.9355,2
8.9844,3
9.0332,3
9.0820,4
9.1309,3
9.1797,5
9.2285,4
9.2773,3
9.3262,5
9.3750,3
9.4238,4
9.4727,5
9.5215,4
9.5703,3
9.6191,3
9.6680,3
9.7168,7
9.7656,3
9.8145,4
9.8633,2
9.9121,1
9.9609,6
10.0098,3
10.0586,3
10.1074,0
10.1563,2
10.2051,0
10.2539,5
10.3027,1
10.3516,2
10.4004,5
10.4492,2
10.4980,1
10.5469,3
10.5957,1
10.6445,5
10.6934,2
10.7422,4
10.7910,3
10.8398,1
10.8887,3
10.9375,4
10.9863,4
11.0352,4
11.0840,4
11.1328,1
11.1816,2
11.2305,3
11.2793,0
11.3281,5
11.3770,3
11.4258,4
11.4746,1
11.5234,6
11.5723,0
11.6211,1
11.6699,2
11.7188,3
11.7676,1
11.8164,4
11.8652,5
11.9141,7
11.9629,3
12.0117,2
12.0605,5
12.1094,4
12.1582,2
12.2070,3
12.2559,3
12.3047,4
12.3535,2
12.4023,4
12.4512,1
12.5000,4
12.5488,4
12.5977,4
12.6465,3
12.6953,1
12.7441,5
12.7930,3
12.8418,3
12.8906,4
12.9395,1
12.9883,5
13.0371,5
13.0859,4
13.1348,14
13.1836,9
13.2324,22
13.2813,18
13.3301,40
13.3789,34
13.4277,26
13.4766,30
13.5254,31
13.5742,18
13.6230,26
13.6719,19
13.7207,7
13.7695,12
13.8184,12
13.8672,8
13.9160,2
13.9648,6
14.0137,5
14.0625,2
14.1113,3
14.1602,5
14.2090,5
14.2578,4
14.3066,7
14.3555,2
14.4043,2
14.4531,3
14.5020,4
14.5508,3
14.5996,4
14.6484,6
14.6973,2
14.7461,3
14.7949,5
14.8438,3
14.8926,2
14.9414,6
14.9902,1
15.0391,5
15.0879,1
15.1367,3
15.1855,2
15.2344,3
15.2832,3
15.3320,2
15.3809,2
15.4297,1
15.4785,1
15.5273,1
15.5762,3
15.6250,1
15.6738,4
15.7227,1
15.7715,3
15.8203,4
15.8691,1
15.9180,2
15.9668,0
16.0156,2
16.0645,2
16.1133,3
16.1621,3
16.2109,3
16.2598,0
16.3086,1
16.3574,5
16.4063,2
16.4551,1
16.5039,2
16.5527,1
16.6016,5
16.6504,0
16.6992,1
16.7480,2
16.7969,3
16.8457,1
16.8945,1
16.9434,0
16.9922,3
17.0410,4
17.0898,2
17.1387,2
17.1875,4
17.2363,6
17.2852,2
17.3340,1
17.3828,1
17.4316,1
17.4805,2
17.5293,2
17.5781,0
17.6270,2
17.6758,0
17.7246,1
17.7734,4
17.8223,0
17.8711,2
17.9199,4
17.9688,3
18.0176,2
18.0664,2
18.1152,2
18.1641,1
18.2129,1
18.2617,3
18.3105,1
18.3594,2
18.4082,4
18.4570,3
18.5059,1
18.5547,2
18.6035,2
18.6523,2
18.7012,2
18.7500,3
18.7988,3
18.8477,0
18.8965,0
18.9453,1
18.9941,2
19.0430,0
19.0918,3
19.1406,3
19.1895,0
19.2383,2
19.2871,2
19.3359,1
19.3848,1
19.4336,5
19.4824,2
19.5313,4
19.5801,0
19.6289,2
19.6777,3
19.7266,4
19.7754,2
19.8242,3
19.8730,2
19.9219,0
19.9707,1
20.0195,2
20.0684,4
20.1172,4
20.1660,1
20.2148,1
20.2637,2
20.3125,2
20.3613,3
20.4102,1
20.4590,0
20.5078,0
20.5566,3
20.6055,5
20.6543,1
20.7031,4
20.7520,4
20.8008,4
20.8496,3
20.8984,2
20.9473,0
20.9961,1
21.0449,3
21.0938,1
21.1426,5
21.1914,0
21.2402,3
21.2891,0
21.3379,1
21.3867,0
21.4355,2
21.4844,3
21.5332,2
21.5820,0
21.6309,1
21.6797,2
21.7285,3
21.7773,2
21.8262,0
21.8750,2
21.9238,1
21.9727,1
22.0215,2
22.0703,2
22.1191,4
22.1680,2
22.2168,0
22.2656,1
22.3145,0
22.3633,3
22.4121,4
22.4609,1
22.5098,1
22.5586,2
22.6074,0
22.6563,1
22.7051,2
22.7539,2
22.8027,1
22.8516,2
22.9004,1
22.9492,1
22.9980,3
23.0469,1
23.0957,1
23.1445,1
23.1934,3
23.2422,2
23.2910,0
23.3398,3
23.3887,1
23.4375,1
23.4863,1
23.5352,0
23.5840,4
23.6328,1
23.6816,1
23.7305,2
23.7793,2
23.8281,2
23.8770,3
23.9258,4
23.9746,1
24.0234,1
24.0723,3
